,Rank,Name,Age,Team,Positions,Value
278,279.0,Chris Paul,39.6,SA,PG,1416.1754069490362
279,280.0,Grant Williams,26.0,CHA,"PF,C",1408.4544221832948
280,281.0,Kyle Anderson,31.2,GS,"SF,PF",1400.7609632683561
281,282.0,Ulrich Chomche,18.9,TOR,PF,1393.094834638052
282,283.0,Adem Bona,21.7,PHI,C,1385.4558428030377
283,284.0,Eric Gordon,35.9,PHI,"SG,SF",1377.8437963214747
284,285.0,Tim Hardaway Jr.,32.7,DET,"SG,SF",1370.2585057702581
285,286.0,Moritz Wagner,27.6,ORL,C,1362.6997837167255
286,287.0,Markelle Fultz,26.5,FA,"PG,SG",1355.1674446908655
287,288.0,Luke Kornet,29.4,BOS,C,1347.6613051580152
288,290.0,Dariq Whitehead,20.3,BKN,"SG,SF",1332.7268999488952
289,291.0,Malik Beasley,28.0,DET,SG,1325.2982766408404
290,292.0,Tyler Kolek,23.7,NY,PG,1317.8951375108463
291,293.0,Xavier Tillman Sr.,25.9,BOS,"PF,C",1310.517308307606
292,294.0,Ajay Mitchell,22.4,OKC,PG,1303.1646165609363
293,295.0,KJ Simpson,22.3,CHA,PG,1295.8368915575556
294,296.0,Bol Bol,25.0,PHO,"PF,C",1288.5339643173393
295,297.0,Larry Nance Jr.,31.9,ATL,C,1281.255667569898
296,298.0,Dario Saric,30.6,DEN,"PF,C",1274.0018357316203
297,299.0,Juan Nunez,20.5,SA,PG,1266.7723048830576
298,300.0,Bones Hyland,24.2,LAC,"PG,SG",1259.5669127466954
299,301.0,Jamal Shead,22.3,TOR,PG,1252.3854986651004
300,302.0,Harrison Barnes,32.5,SA,"SF,PF",1245.2279035794254
301,303.0,Talen Horton-Tucker,24.0,CHI,"PG,SG",1238.0939700082781
302,304.0,Jett Howard,21.2,ORL,SF,1230.9835420269173
303,305.0,Kevon Looney,28.8,GS,"PF,C",1223.8964652468148
304,306.0,Craig Porter Jr.,24.8,CLE,"PG,SG",1216.8325867955427
305,308.0,Dante Exum,29.4,DAL,"PG,SG",1202.773820851835
306,309.0,Quentin Grimes,24.6,DAL,"SG,SF",1195.7786350185415
307,310.0,Terrence Shannon Jr.,24.3,MIN,SG,1188.8060507943737
308,311.0,Nick Smith Jr.,20.6,CHA,"PG,SG",1181.8559225969293
309,312.0,Cam Christie,19.3,LAC,SG,1174.9281062458867
310,313.0,Kentavious Caldwell-Pope,31.8,ORL,"SG,SF",1168.0224589450645
311,314.0,Santi Aldama,23.9,MEM,"PF,C",1161.1388392647514
312,315.0,Mike Conley,37.1,MIN,PG,1154.277107124337
313,316.0,Spencer Dinwiddie,31.6,DAL,"PG,SG",1147.4371237751984
314,317.0,Mo Bamba,26.5,LAC,C,1140.6187517838753
315,318.0,Gary Payton II,32.0,GS,"SG,SF",1133.8218550154852
316,319.0,Dalano Banton,25.1,POR,"SG,SF",1127.0462986174352
317,320.0,Trey Alexander,22.6,DEN,SG,1120.2919490033546
318,321.0,Richaun Holmes,31.1,WAS,C,1113.5586738372913
319,322.0,Royce O'Neale,31.5,PHO,"SF,PF",1106.846342018167
320,323.0,Ousmane Dieng,21.5,OKC,"SF,PF",1100.1548236644448
321,324.0,Caleb Houstan,21.9,ORL,"SG,SF",1093.4839900990592
322,325.0,Drew Eubanks,27.8,UTA,C,1086.8337138345669
323,326.0,Josh Richardson,31.2,MIA,"PG,SG",1080.2038685585285
324,327.0,Cody Martin,29.2,CHA,"SG,SF",1073.5943291191143
325,328.0,Dillon Jones,23.1,OKC,SF,1067.0049715109235
326,329.0,Killian Hayes,23.3,BKN,"PG,SG",1060.4356728610328
327,330.0,Bojan Bogdanovic,35.6,BKN,"SF,PF",1053.8863114152373
328,331.0,Josh Okogie,26.2,PHO,"SG,SF",1047.356766524521
329,332.0,Aleksandar Vezenkov,29.3,FA,"SF,PF",1040.8469186317197
330,333.0,Jalen McDaniels,26.8,SAC,"SF,PF",1034.3566492583814
331,334.0,Josh Minott,22.0,MIN,"SF,PF",1027.8858409918303
332,335.0,Emoni Bates,20.8,CLE,"SG,SF",1021.4343774724257
333,336.0,Duop Reath,28.4,POR,C,1015.0021433809943
334,337.0,Christian Wood,29.2,LAL,"PF,C",1008.5890244264847
335,338.0,Trey Jemison,25.0,NO,C,1002.1949073337564
336,339.0,Vasilije Micic,30.9,CHA,"PG,SG",995.8196798315985
337,340.0,Jalen Hood-Schifino,21.4,LAL,"PG,SG",989.4632306408803
338,341.0,Pat Connaughton,31.9,MIL,"SG,SF",983.1254494629138
339,342.0,Ochai Agbaji,24.6,TOR,"SG,SF",976.8062269679613
340,343.0,Jaylin Williams,22.4,OKC,"PF,C",970.5054547839154
341,344.0,John Konchar,28.7,MEM,"SG,SF",964.2230254851602
342,345.0,Vít Krejcí,24.4,ATL,"SG,SF",957.9588325815675
343,346.0,Steven Adams,31.4,HOU,C,951.71277050768
344,347.0,Luke Kennard,28.4,MEM,SG,945.4847346120241
345,348.0,Dorian Finney-Smith,31.6,BKN,"SF,PF,C",939.2746211465947
346,349.0,Seth Curry,34.3,CHA,SG,933.0823272564885
347,350.0,Gabe Vincent,28.5,LAL,"PG,SG",926.9077509696763
348,351.0,Kevin McCullar Jr.,23.7,NY,SF,920.7507911869307
349,352.0,Cam Spencer,24.6,MEM,SG,914.6113476718947
350,353.0,Olivier-Maxence Prosper,22.4,DAL,PF,908.4893210412883
351,354.0,Enrique Freeman,24.3,IND,PF,902.3846127552588
352,355.0,Ömer Yurtseven,26.4,FA,C,896.2971251078561
353,356.0,Tristan Vukcevic,21.7,WAS,C,890.2267612176602
354,357.0,Jalen Slawson,25.1,ORL,SF,884.1734250185236
355,358.0,Oso Ighodaro,22.4,PHO,C,878.1370212504444
356,359.0,Tristen Newton,23.6,IND,PG,872.1174554505869
357,360.0,Naji Marshall,26.8,DAL,"SG,SF",866.1146339443967
358,361.0,Delon Wright,32.6,MIL,"PG,SG",860.1284638368634
359,362.0,Blake Wesley,21.7,SA,"PG,SG",854.1588530038844
360,363.0,Isaiah Livers,26.3,FA,"SF,PF",848.2057100837774
361,364.0,Jaden Springer,22.2,BOS,SG,842.2689444688658
362,365.0,Jalen Bridges,23.5,PHO,SF,836.3484662972278
363,366.0,Bronny James,20.1,LAL,SG,830.444186444518
364,367.0,Kenyon Martin Jr.,23.9,PHI,"SF,PF",824.5560165159222
365,368.0,Simone Fontecchio,29.0,DET,"SF,PF",818.6838688382268
366,369.0,Keshad Johnson,23.4,MIA,PF,812.8276564519674
367,370.0,Jae'Sean Tate,29.1,HOU,"SF,PF",806.9872931037207
368,371.0,Kris Dunn,30.7,LAC,"PG,SG",801.1626932384643
369,372.0,Jeremiah Robinson-Earl,24.1,NO,"PF,C",795.353771992075
370,373.0,Sam Merrill,28.5,CLE,SG,789.5604451838954
371,374.0,Johnny Davis,22.7,WAS,"SG,SF",783.7826293094204
372,375.0,David Jones,23.0,PHI,SF,778.0202415330768
373,376.0,Quinten Post,24.7,GS,C,772.2731996810908
374,377.0,Jesse Edwards,24.7,MIN,C,766.5414222344662
375,379.0,Charles Bassey,24.1,SA,C,755.1233377136305
376,380.0,Bruno Fernando,26.3,TOR,C,749.4368708132988
377,381.0,Haywood Highsmith,28.0,MIA,"SF,PF",743.7653486526633
378,382.0,Aaron Wiggins,25.9,OKC,"SG,SF",738.1086928843342
379,383.0,Reggie Jackson,34.6,PHI,"PG,SG",732.4668257754056
380,384.0,Chris Duarte,27.5,CHI,SG,726.8396702010541
381,385.0,Aleksej Pokuševski,22.9,FA,"PF,C",721.2271496382145
382,387.0,Jaxson Hayes,24.5,LAL,"PF,C",710.0457104262023
383,388.0,Monte Morris,29.4,PHO,"PG,SG",704.4766416838811
384,389.0,Lonnie Walker IV,26.0,BOS,"SG,SF",698.9219077546877
385,390.0,Cam Reddish,25.2,LAL,"SG,SF",693.3814350322682
386,391.0,Jericho Sims,26.1,NY,C,687.8551504757543
387,392.0,Cameron Payne,30.3,NY,"PG,SG",682.3429816039752
388,393.0,Shake Milton,28.2,BKN,"PG,SG",676.8448564897571
389,394.0,James Nnaji,20.3,FA,C,671.3607037542915
390,395.0,Kobe Brown,24.9,LAC,PF,665.8904525615799
391,396.0,Derrick Jones Jr.,27.8,LAC,"SF,PF",660.4340326129368
392,397.0,Al Horford,38.5,BOS,"PF,C",654.9913741415694
393,398.0,Alec Burks,33.4,MIA,"SG,SF",649.562407907235
394,399.0,Justin Champagnie,23.4,WAS,"SG,SF",644.1470651909385
395,400.0,Luka Garza,25.9,MIN,C,638.7452777897361
396,401.0,Trendon Watford,24.0,BKN,"PF,C",633.356978011554
397,402.0,Dean Wade,28.0,CLE,"SF,PF",627.9820986701252
398,403.0,Malachi Flynn,26.6,SA,PG,622.6205730799466
399,404.0,James Bouknight,24.2,FA,SG,617.2723350513152
400,405.0,Kai Jones,23.9,LAC,C,611.9373188854406
401,406.0,AJ Green,25.2,MIL,"PG,SG",606.6154593695755
402,407.0,Jevon Carter,29.2,CHI,"PG,SG",601.3066917722608
403,408.0,JT Thor,22.3,CLE,PF,596.0109518385816
404,409.0,Christian Koloko,24.4,LAL,C,590.7281757855126
405,410.0,Colby Jones,22.5,SAC,SG,585.458300297305
406,411.0,Sidy Cissoko,20.7,SA,"SF,PF",580.20126252093
407,412.0,Nassir Little,24.8,MIA,"SF,PF",574.9570000615804
408,413.0,Kobi Simmons,27.4,FA,PG,569.7254509782379
409,414.0,Joshua Primo,21.9,FA,SG,564.5065537792707
410,415.0,Dalen Terry,22.4,CHI,"SG,SF",559.3002474181012
411,416.0,Mason Plumlee,34.7,PHO,C,554.1064712889256
412,417.0,Jalen Pickett,25.1,DEN,"PG,SG",548.9251652224757
413,418.0,Rayan Rupert,20.5,POR,"SG,SF",543.7562694818389
414,419.0,Maxi Kleber,32.8,DAL,"PF,C",538.5997247583236
415,420.0,David Roddy,23.7,ATL,"SF,PF",533.4554721673758
416,421.0,Jock Landale,29.1,HOU,C,528.3234532445531
417,422.0,Trey Lyles,29.1,SAC,"PF,C",523.2036099415218
418,423.0,Kyle Lowry,38.7,PHI,PG,518.0958846221365
419,424.0,Taurean Prince,30.7,MIL,"SG,SF",513.0002200585241
420,425.0,Robert Covington,34.0,FA,"SF,PF",507.91655942726175
421,426.0,Kira Lewis Jr,23.6,FA,"PG,SG",502.8448463055556
422,427.0,Ricky Council IV,23.3,PHI,"SG,SF",497.78502466749524
423,428.0,Bismack Biyombo,32.2,FA,C,492.73703888033197
424,429.0,Chimezie Metu,27.7,FA,"PF,C",487.7008337008083
425,430.0,Gary Harris,30.2,ORL,"PG,SG",482.67635427154164
426,431.0,Orlando Robinson,24.4,SAC,C,477.66354611742645
427,432.0,Kenneth Lofton Jr.,22.3,CHI,"PF,C",472.6623551420962
428,433.0,Usman Garuba,23.7,FA,"PF,C",467.67272762442553
429,434.0,Jordan Walsh,20.7,BOS,"SG,SF",462.6946102150541
430,435.0,Keita Bates-Diop,28.8,NY,"SF,PF",457.7279499329761
431,436.0,Saben Lee,25.4,FA,PG,452.77269416215495
432,437.0,Thomas Bryant,27.3,MIA,C,447.828790648171
433,438.0,Patrick Baldwin Jr.,22.0,WAS,PF,442.8961874949273
434,439.0,Admiral Schofield,27.7,FA,"SF,PF",437.9748331613737
435,440.0,Dennis Smith Jr.,27.0,FA,"PG,SG",433.06467645827615
436,441.0,Hamidou Diallo,26.3,FA,SG,428.1656665450173
437,442.0,Cedi Osman,29.6,FA,"SF,PF",423.2777529264531
438,443.0,Jordan McLaughlin,28.6,SAC,"PG,SG",418.4008854497715
439,444.0,Chris Boucher,31.9,TOR,"PF,C",413.53501430142023
440,445.0,Nicolas Batum,36.0,LAC,"SF,PF",408.68009000404163
441,446.0,Wesley Matthews,38.1,FA,SG,403.8360634134624
442,447.0,Oshae Brissett,26.4,FA,"SF,PF",399.0028857157031
443,448.0,Ishmail Wainright,30.2,FA,"SF,PF",394.180508424035
444,449.0,TyTy Washington Jr.,23.0,PHO,PG,389.36888337604614
445,450.0,Taj Gibson,39.4,CHA,"PF,C",384.56796273077816
446,451.0,Victor Oladipo,32.6,FA,"PG,SG",379.77769896584505
447,452.0,Kevin Knox II,25.3,GS,"SF,PF",374.99804487463734
448,453.0,Danilo Gallinari,36.3,FA,SF,370.2289535635082
449,454.0,Torrey Craig,33.9,CHI,"SF,PF",365.4703784490266
450,455.0,JD Davison,22.2,BOS,"PG,SG",360.7222732552473
451,456.0,A.J. Lawson,24.4,DAL,"SG,SF",355.9845920109983
452,457.0,Kevon Harris,27.4,ATL,SG,351.25728904722746
453,458.0,Braxton Key,27.8,FA,"SF,PF",346.5403189943445
454,459.0,Jordan Nwora,26.2,FA,"SF,PF",341.8336367796237
455,460.0,Terry Taylor,25.2,SAC,PF,337.13719762460823
456,461.0,Isaiah Roby,26.8,FA,"PF,C",332.4509570425562
457,462.0,Yuta Watanabe,30.1,FA,"SF,PF",327.7748708359177
458,463.0,Davis Bertans,32.0,FA,"PF,C",323.1088950938265
459,464.0,Danuel House Jr.,31.5,FA,SF,318.45298618963534
460,465.0,Damion Lee,32.1,PHO,"SG,SF",313.8071007784565
461,466.0,Devonte' Graham,29.8,POR,"PG,SG",309.17119579475
462,467.0,Josh Christopher,23.0,MIA,"PG,SG",304.54522844992425
463,468.0,Joe Harris,33.2,FA,"SG,SF",299.9291562299677
464,469.0,Amir Coffey,27.4,LAC,"SF,PF",295.3229368931061
465,470.0,Kevin Love,36.2,MIA,"PF,C",290.72652846747224
466,471.0,Dwight Powell,33.4,DAL,C,286.13988924883415
467,472.0,Chuma Okeke,26.3,NY,"SF,PF",281.56297779829765
468,473.0,Darius Bazley,24.5,FA,PF,276.99575294008173
469,474.0,Anthony Gill,32.1,WAS,"PF,C",272.4381737592812
470,475.0,Ryan Rollins,22.4,MIL,PG,267.8901995996803
471,476.0,Kessler Edwards,24.3,DAL,"SF,PF",263.3517900615607
472,477.0,Olivier Sarr,25.8,FA,C,258.82290499956616
473,478.0,Thanasis Antetokounmpo,32.4,FA,SF,254.3035045205579
474,479.0,Isaiah Mobley,25.2,FA,"SF,PF",249.7935489815154
475,480.0,Micah Potter,26.6,UTA,"PF,C",245.29299898743557
476,481.0,Marcus Morris Sr.,35.2,NY,"PF,C",240.80181538929173
477,482.0,Zeke Nnaji,23.9,DEN,"PF,C",236.3199592819692
478,483.0,Nerlens Noel,30.6,FA,C,231.84739200224976
479,484.0,Kenrich Williams,30.0,OKC,PF,227.38407512681442
480,485.0,Dominick Barlow,21.5,ATL,"PF,C",222.92997047026256
481,486.0,Landry Shamet,27.7,NY,"PG,SG",218.48504008314012
482,487.0,Troy Brown Jr.,25.3,FA,"SF,PF",214.04924625001877
483,488.0,Evan Fournier,32.1,FA,"SG,SF",209.62255148755503
484,489.0,Garrison Mathews,28.1,ATL,"SG,SF",205.20491854261127
485,490.0,Georges Niang,31.4,CLE,"SF,PF",200.79631039035667
486,491.0,Damian Jones,29.4,FA,C,196.39669023241004
487,492.0,Hunter Tyson,24.5,DEN,"SF,PF",192.0060214950081
488,493.0,Khem Birch,32.2,FA,C,187.62426782716284
489,494.0,Keon Johnson,22.7,BKN,"PG,SG",183.2513930988698
490,495.0,Juan Toscano-Anderson,31.6,FA,SF,178.88736139931825
491,496.0,P.J. Tucker,39.6,LAC,SF,174.53213703511392
492,497.0,Furkan Korkmaz,27.3,FA,"SG,SF",170.1856845285365
493,499.0,Duane Washington Jr.,24.7,FA,SG,161.51895424534268
494,500.0,Bryce McGowens,22.1,POR,"SG,SF",157.19860657611753
495,501.0,Doug McDermott,32.9,SAC,"SG,SF",152.88689097591305
496,502.0,R.J. Hampton,23.8,FA,"PG,SG",148.58377301969995
497,503.0,Ibou Badji,22.1,MIL,C,144.289218487962
498,504.0,Patty Mills,36.3,UTA,"PG,SG",140.0031933650771
499,505.0,Otto Porter Jr.,31.5,FA,"SG,SF",135.72566383769663
500,506.0,Montrezl Harrell,30.8,FA,C,131.45659629314832
501,507.0,JaVale McGee,36.9,FA,C,127.1959573178392
502,508.0,Theo Maledon,23.5,FA,PG,122.94371369570399
503,509.0,Isaiah Todd,23.1,FA,"PF,C",118.69983240663714
504,510.0,Derrick Rose,36.1,MEM,PG,114.46428062496307
505,511.0,Udoka Azubuike,25.2,FA,C,110.23702571790818
506,512.0,Reggie Bullock,33.7,FA,"SF,PF",106.01803524409479
507,513.0,Vlatko Cancar,27.6,DEN,PF,101.80727695204223
508,527.0,Jaylen Clark,23.1,MIN,SG,43.70341867264142
509,541.0,Justin Edwards,21.0,PHI,SF,0.0
510,542.0,Pelle Larsson,23.8,MIA,SG,0.0
511,543.0,Antonio Reeves,24.0,NO,SG,0.0
512,544.0,Harrison Ingram,22.0,SA,SF,0.0
513,545.0,Melvin Ajinca,20.4,DAL,SF,0.0
514,547.0,Ariel Hukporti,22.6,NY,C,0.0
515,548.0,PJ Hall,22.8,DEN,C,0.0
516,549.0,N'Faly Dante,23.1,HOU,C,0.0
517,552.0,Reece Beekman,23.1,GS,PG,0.0
518,554.0,Isaac Jones,24.4,SAC,C,0.0
519,590.0,Thaddeus Young,36.4,FA,"PF,C",0.0
520,592.0,Mike Muscala,33.4,FA,"PF,C",0.0
521,593.0,Dylan Windler,28.2,FA,SF,0.0
522,594.0,Jared Butler,24.3,WAS,"PG,SG",0.0
523,595.0,Moses Brown,25.1,FA,C,0.0
524,596.0,Jae Crowder,34.4,FA,"SF,PF",0.0
525,597.0,Danny Green,37.4,FA,SG,0.0
526,598.0,Frank Ntilikina,26.3,FA,PG,0.0
527,599.0,Cody Zeller,32.1,ATL,C,0.0
528,600.0,Ty Jerome,27.4,CLE,"PG,SG",0.0
529,601.0,Cory Joseph,33.3,ORL,PG,0.0
530,602.0,Aaron Holiday,28.2,HOU,"PG,SG",0.0
531,603.0,Wenyen Gabriel,27.7,FA,"PF,C",0.0
532,604.0,Svi Mykhailiuk,27.5,UTA,"SG,SF",0.0
533,605.0,Justin Holiday,35.6,FA,"SG,SF",0.0
534,606.0,Robin Lopez,36.7,FA,C,0.0
535,607.0,Joe Ingles,37.2,MIN,"SG,SF",0.0
536,608.0,Jeff Green,38.3,HOU,"PF,C",0.0
537,609.0,Alex Len,31.4,SAC,C,0.0
538,610.0,Garrett Temple,38.6,TOR,SG,0.0
539,611.0,Nate Hinton,25.5,HOU,"SG,SF",0.0
540,612.0,Trevelin Queen,27.8,ORL,SG,0.0
541,613.0,Mamadi Diakite,27.8,PHO,PF,0.0
542,614.0,Jason Preston,25.3,UTA,"PG,SG",0.0
543,615.0,Sandro Mamukelashvili,25.5,SA,PF,0.0
544,616.0,Dru Smith,26.9,MIA,"PG,SG",0.0
545,617.0,Eugene Omoruyi,27.8,MIN,"SF,PF",0.0
546,618.0,Daishen Nix,22.8,MIN,PG,0.0
547,619.0,Brandon Williams,25.0,DAL,PG,0.0
548,620.0,Lindy Waters III,27.3,GS,"SG,SF",0.0
549,621.0,Matt Ryan,27.6,NY,SF,0.0
550,622.0,EJ Liddell,23.9,CHI,PF,0.0
551,623.0,Wendell Moore Jr.,23.2,DET,"SG,SF",0.0
552,624.0,Kendall Brown,21.5,IND,"SG,SF",0.0
553,625.0,Gui Santos,22.4,GS,"SF,PF",0.0
554,626.0,Collin Gillespie,25.4,PHO,PG,0.0
555,627.0,Johnny Juzang,23.7,UTA,"SG,SF",0.0
556,628.0,Buddy Boeheim,25.0,OKC,SF,0.0
557,629.0,Alondes Williams,25.4,DET,SG,0.0
558,630.0,Cole Swider,25.6,DET,PF,0.0
559,631.0,Stanley Umude,25.6,MIL,SF,0.0
560,632.0,Jamal Cain,25.7,NO,"SF,PF",0.0
561,633.0,Jamaree Bouyea,25.4,SA,PG,0.0
562,634.0,Nate Williams,25.8,HOU,"PG,SG",0.0
563,635.0,Justin Minaya,25.7,POR,"SG,SF",0.0
564,636.0,Julian Phillips,21.1,CHI,"SF,PF",0.0
565,637.0,Mouhamed Gueye,22.1,ATL,"PF,C",0.0
566,638.0,Maxwell Lewis,22.3,LAL,SF,0.0
567,639.0,Seth Lundy,24.7,ATL,SF,0.0
568,640.0,Jordan Miller,24.8,LAC,SF,0.0
569,641.0,Jalen Wilson,24.1,BKN,SF,0.0
570,642.0,Chris Livingston,21.1,MIL,"SF,PF",0.0
571,643.0,Adama Sanogo,22.8,CHI,C,0.0
572,644.0,Tristan Thompson,33.7,CLE,"PF,C",0.0
573,646.0,James Johnson,37.8,IND,PF,0.0
574,648.0,DeAndre Jordan,36.4,DEN,C,0.0
